("deg_100", "mat_30")	Trial(1.087 s)
("deg_890", "mat_10")	Trial(4.049 s)
("deg_580", "mat_40")	Trial(9.760 s)
("deg_410", "mat_40")	Trial(6.291 s)
("deg_380", "mat_30")	Trial(4.519 s)
("deg_680", "mat_40")	Trial(11.633 s)
("deg_220", "mat_10")	Trial(894.515 ms)
("deg_160", "mat_20")	Trial(1.208 s)
("deg_520", "mat_30")	Trial(6.431 s)
("deg_300", "mat_40")	Trial(4.795 s)
("deg_690", "mat_30")	Trial(8.757 s)
("deg_490", "mat_40")	Trial(7.697 s)
("deg_110", "mat_10")	Trial(424.845 ms)
("deg_0", "mat_30")	Trial(261.308 ms)
("deg_800", "mat_30")	Trial(10.008 s)
("deg_240", "mat_20")	Trial(1.887 s)
("deg_170", "mat_30")	Trial(1.887 s)
("deg_250", "mat_40")	Trial(3.990 s)
("deg_310", "mat_20")	Trial(2.473 s)
("deg_80", "mat_10")	Trial(298.938 ms)
("deg_50", "mat_10")	Trial(177.410 ms)
("deg_870", "mat_20")	Trial(7.663 s)
("deg_930", "mat_20")	Trial(8.294 s)
("deg_940", "mat_20")	Trial(8.903 s)
("deg_440", "mat_40")	Trial(7.336 s)
("deg_610", "mat_30")	Trial(7.819 s)
("deg_650", "mat_40")	Trial(10.926 s)
("deg_260", "mat_10")	Trial(1.043 s)
("deg_60", "mat_10")	Trial(223.525 ms)
("deg_470", "mat_10")	Trial(2.065 s)
("deg_40", "mat_20")	Trial(262.941 ms)
("deg_150", "mat_20")	Trial(1.150 s)
("deg_560", "mat_10")	Trial(2.540 s)
("deg_710", "mat_20")	Trial(5.942 s)
("deg_430", "mat_10")	Trial(1.897 s)
("deg_30", "mat_20")	Trial(211.734 ms)
("deg_540", "mat_40")	Trial(9.574 s)
("deg_800", "mat_40")	Trial(13.721 s)
("deg_380", "mat_40")	Trial(5.911 s)
("deg_90", "mat_30")	Trial(1.025 s)
("deg_200", "mat_40")	Trial(3.326 s)
("deg_120", "mat_40")	Trial(1.909 s)
("deg_10", "mat_20")	Trial(220.637 ms)
("deg_190", "mat_10")	Trial(753.095 ms)
("deg_270", "mat_30")	Trial(3.136 s)
("deg_370", "mat_30")	Trial(4.397 s)
("deg_10", "mat_10")	Trial(70.544 ms)
("deg_320", "mat_10")	Trial(1.296 s)
("deg_820", "mat_20")	Trial(7.036 s)
("deg_40", "mat_40")	Trial(632.000 ms)
("deg_680", "mat_10")	Trial(2.949 s)
("deg_420", "mat_30")	Trial(5.065 s)
("deg_960", "mat_40")	Trial(16.628 s)
("deg_740", "mat_10")	Trial(3.445 s)
("deg_780", "mat_20")	Trial(6.956 s)
("deg_920", "mat_10")	Trial(4.535 s)
("deg_220", "mat_30")	Trial(2.552 s)
("deg_620", "mat_20")	Trial(5.010 s)
("deg_360", "mat_10")	Trial(1.558 s)
("deg_870", "mat_10")	Trial(3.956 s)
("deg_640", "mat_40")	Trial(10.408 s)
("deg_20", "mat_30")	Trial(226.849 ms)
("deg_650", "mat_30")	Trial(8.302 s)
("deg_580", "mat_30")	Trial(7.341 s)
("deg_770", "mat_30")	Trial(9.750 s)
("deg_760", "mat_10")	Trial(3.559 s)
("deg_800", "mat_20")	Trial(6.842 s)
("deg_530", "mat_40")	Trial(8.432 s)
("deg_860", "mat_10")	Trial(4.157 s)
("deg_70", "mat_30")	Trial(778.603 ms)
("deg_770", "mat_40")	Trial(12.830 s)
("deg_950", "mat_10")	Trial(4.726 s)
("deg_150", "mat_10")	Trial(566.801 ms)
("deg_1000", "mat_40")	Trial(17.417 s)
("deg_660", "mat_20")	Trial(5.352 s)
("deg_880", "mat_10")	Trial(4.001 s)
("deg_650", "mat_10")	Trial(2.984 s)
("deg_440", "mat_30")	Trial(5.369 s)
("deg_110", "mat_40")	Trial(1.713 s)
("deg_730", "mat_10")	Trial(3.395 s)
("deg_200", "mat_20")	Trial(1.571 s)
("deg_350", "mat_20")	Trial(2.828 s)
("deg_600", "mat_30")	Trial(7.285 s)
("deg_300", "mat_30")	Trial(3.456 s)
("deg_820", "mat_10")	Trial(3.937 s)
("deg_830", "mat_20")	Trial(7.220 s)
("deg_20", "mat_10")	Trial(91.707 ms)
("deg_500", "mat_40")	Trial(8.381 s)
("deg_410", "mat_20")	Trial(3.359 s)
("deg_220", "mat_20")	Trial(1.743 s)
("deg_970", "mat_20")	Trial(9.393 s)
